"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1536","740","true","chrome","117.0.0","false","Chrome OS","true","59.99","true","true","browser-check","0","1016","0.0-0.0","100","0","30","30","15","25","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","4594","0.0-1.0","100","0","30","30","15","25","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","27917","0.0-2.0","100","0","30","30","15","25","","23270","{""prolific_id"":""6413573d24d5fbfedfb3fefa"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","38076","0.0-4.0","100","0","30","30","15","25","","10158","","","[{""page_index"":0,""viewing_time"":10157}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","46997","0.0-5.0-0.0","100","0","30","30","15","25","","8725","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","83202","0.0-7.0","100","0","30","30","15","25","","36204","","","[{""page_index"":0,""viewing_time"":36204}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","83860","0.0-8.0","100","0","30","30","15","25","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","101912","0.0-9.0","100","0","30","30","15","25","","18050"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","149067","0.0-10.0","100","0","30","30","15","25","","151001","{""blackblade"":""20""}","","","","","","","","firstbet","no","native","disfluent","19","blackblade"
"","","","","","","","","","","","audio-survey-input-response","9","182562","0.0-11.0","100","0","30","30","15","25","","184449","{""blackblade"":"""",""firewalker"":""25""}","","","","","","","","secondbet","no","nonnative","fluent","19","firewalker"
"","","","","","","","","","","","audio-survey-input-response","10","215007","0.0-12.0","100","0","30","30","15","25","","216861","{""blackblade"":"""",""firewalker"":"""",""silversky"":""15""}","","","","","","","","thirdbet","no","native","fluent","19","silversky"
"","","","","","","","","","","","audio-survey-input-response","11","285757","0.0-13.0","100","0","30","30","15","25","","287578","{""blackblade"":""30"",""firewalker"":""30"",""silversky"":"""",""apocalypse"":""25""}","","","","","","","","forthbet","no","nonnative","disfluent","19","apocalypse"
"","","","","","","","","","","","instructions","12","294518","0.0-15.0","100","0","30","30","15","25","","8759","","","[{""page_index"":0,""viewing_time"":8758}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","358503","0.0-16.0","100","0","30","30","15","25","","63950","{""P0_Q0"":null,""sociable_nonnative"":5,""friendly_nonnative"":7,""nice_nonnative"":8,""honest_nonnative"":8,""pleasant_nonnative"":6,""P1_Q0"":null,""trustworthy_nonnative"":6,""easy_nonnative"":8,""fluent_nonnative"":7,""strong_nonnative"":3,""P2_Q0"":null,""irritated_nonnative"":2,""interested_nonnative"":6,""enthusiastic_nonnative"":5,""frustrated_nonnative"":2,""annoyed_nonnative"":2,""happy_nonnative"":5,""P3_Q0"":null,""competent_nonnative"":7,""smart_nonnative"":7,""educated_nonnative"":8,""intelligent_nonnative"":7,""successful_nonnative"":7}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","14","411511","0.0-17.0","100","0","30","30","15","25","","52993","{""P0_Q0"":null,""irritated_native"":2,""interested_native"":5,""enthusiastic_native"":5,""frustrated_native"":2,""annoyed_native"":2,""happy_native"":4,""P1_Q0"":null,""sociable_native"":5,""friendly_native"":7,""nice_native"":7,""honest_native"":7,""pleasant_native"":8,""P2_Q0"":null,""competent_native"":6,""smart_native"":7,""educated_native"":8,""intelligent_native"":6,""successful_native"":7,""P3_Q0"":null,""trustworthy_native"":6,""easy_native"":9,""fluent_native"":9,""strong_native"":2}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","15","524708","0.0-18.0","100","0","30","30","15","25","","113178","{""P0_Q0"":null,""country_native"":""England"",""country_nonnative"":""Belgium"",""learn_future"":""Non-native speaker"",""P1_Q0"":null,""exposure_nn"":6,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""Yes"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":5,""naturalness_nonnative"":5,""decision_making"":""30, 30, 15, 25 going off key words used."",""P2_Q4"":""Potentially something about using advice from a native and a non-native speaker"",""P2_Q5"":""N/A""}","[{""P1_Q4"":true}]","","","","","","","survey_checks","","","","",""
